Time,Error,P,I-Accumulator,D,Output
1611013493903,2.7327275157022584,5.465455031404517,0,0,1
1611013493904,2.7327275157022584,5.465455031404517,0,0,1
1611013493904,2.7316138803510177,5.463227760702035,0,0,1
1611013493904,2.730500244999777,5.461000489999554,0,0,1
1611013493905,2.729386609648537,5.458773219297074,0,0,1
1611013493905,2.729386609648537,5.458773219297074,0,0,1
1611013493906,2.728272974297296,5.456545948594592,0,0,1
1611013493906,2.7271593389460556,5.454318677892111,0,0,1
1611013493907,2.7271593389460556,5.454318677892111,0,0,1
1611013493907,2.726045703594815,5.45209140718963,0,0,1
1611013493907,2.7249320682435743,5.4498641364871485,0,0,1
1611013493908,2.7238184328923336,5.447636865784667,0,0,1
1611013493908,2.7238184328923336,5.447636865784667,0,0,1
1611013493909,2.722704797541093,5.445409595082186,0,0,1
1611013493909,2.7215911621898528,5.4431823243797055,0,0,1
1611013493910,2.7215911621898528,5.4431823243797055,0,0,1
1611013493910,2.720477526838612,5.440955053677224,0,0,1
1611013493910,2.7193638914873715,5.438727782974743,0,0,1
1611013493911,2.718250256136131,5.436500512272262,0,0,1
1611013493911,2.718250256136131,5.436500512272262,0,0,1
1611013493912,2.71713662078489,5.43427324156978,0,0,1
1611013493912,2.7160229854336495,5.432045970867299,0,0,1
1611013493913,2.714909350082409,5.429818700164818,0,0,1
1611013493913,2.714909350082409,5.429818700164818,0,0,1
1611013493913,2.7137957147311687,5.427591429462337,0,0,1
1611013493914,2.712682079379928,5.425364158759856,0,0,1
1611013493914,2.712682079379928,5.425364158759856,0,0,1
1611013493915,2.7115684440286874,5.423136888057375,0,0,1
1611013493915,2.7104548086774467,5.420909617354893,0,0,1
1611013493916,2.709341173326206,5.418682346652412,0,0,1
1611013493916,2.709341173326206,5.418682346652412,0,0,1
1611013493917,2.7082275379749654,5.416455075949931,0,0,1
1611013493917,2.7071139026237248,5.4142278052474495,0,0,1
1611013493917,2.7060002672724845,5.412000534544969,0,0,1
1611013493918,2.7060002672724845,5.412000534544969,0,0,1
1611013493918,2.704886631921244,5.409773263842488,0,0,1
1611013493919,2.7037729965700033,5.4075459931400065,0,0,1
1611013493919,2.7026593612187626,5.405318722437525,0,0,1
1611013493920,2.7026593612187626,5.405318722437525,0,0,1
1611013493920,2.701545725867522,5.403091451735044,0,0,1
1611013493920,2.7004320905162813,5.400864181032563,0,0,1
