Time,Error,P,I-Accumulator,D,Output,Input,Target
1625129017778,0,0,0,0,0,0,0
1625129017789,0,0,0,0,0,0,0
1625129017800,0,0,0,0,0,0,0
1625129017811,0,0,0,0,0,0,0
1625129017821,0,0,0,0,0,0,0
1625129017832,0,0,0,0,0,0,0
1625129017843,0,0,0,0,0,0,0
1625129017853,0,0,0,0,0,0,0
1625129017864,0,0,0,0,0,0,0
1625129017875,0,0,0,0,0,0,0
1625129017886,0,0,0,0,0,0,0
1625129017896,0,0,0,0,0,0,0
1625129017907,0,0,0,0,0,0,0
1625129017918,0,0,0,0,0,0,0
1625129017929,0,0,0,0,0,0,0
1625129017940,0,0,0,0,0,0,0
1625129017950,0,0,0,0,0,0,0
1625129017961,0,0,0,0,0,0,0
1625129017972,0,0,0,0,0,0,0
1625129017983,0,0,0,0,0,0,0
1625129017993,0,0,0,0,0,0,0
1625129018004,0,0,0,0,0,0,0
1625129018015,0,0,0,0,0,0,0
1625129018026,0,0,0,0,0,0,0
1625129018036,0,0,0,0,0,0,0
1625129018047,0,0,0,0,0,0,0
1625129018058,0,0,0,0,0,0,0
1625129018069,0,0,0,0,0,0,0
1625129018079,0,0,0,0,0,0,0
1625129018090,0,0,0,0,0,0,0
1625129018101,0,0,0,0,0,0,0
1625129018112,0,0,0,0,0,0,0
1625129018122,0,0,0,0,0,0,0
1625129018133,0,0,0,0,0,0,0
1625129018144,0,0,0,0,0,0,0
1625129018155,0,0,0,0,0,0,0
1625129018165,0,0,0,0,0,0,0
1625129018176,0,0,0,0,0,0,0
1625129018187,0,0,0,0,0,0,0
1625129018198,0,0,0,0,0,0,0
1625129018208,0,0,0,0,0,0,0
1625129018219,0,0,0,0,0,0,0
1625129018230,0,0,0,0,0,0,0
1625129018241,0,0,0,0,0,0,0
1625129018251,0,0,0,0,0,0,0
1625129018262,0,0,0,0,0,0,0
1625129018273,0,0,0,0,0,0,0
1625129018284,0,0,0,0,0,0,0
1625129018294,0,0,0,0,0,0,0
1625129018305,0,0,0,0,0,0,0
1625129018316,0,0,0,0,0,0,0
1625129018326,0,0,0,0,0,0,0
1625129018337,0,0,0,0,0,0,0
1625129018349,0,0,0,0,0,0,0
1625129018359,0,0,0,0,0,0,0
1625129018370,0,0,0,0,0,0,0
1625129018381,0,0,0,0,0,0,0
1625129018392,0,0,0,0,0,0,0
1625129018403,0,0,0,0,0,0,0
1625129018414,0,0,0,0,0,0,0
1625129018425,0,0,0,0,0,0,0
1625129018436,0,0,0,0,0,0,0
1625129018448,0,0,0,0,0,0,0
1625129018459,0,0,0,0,0,0,0
1625129018470,0,0,0,0,0,0,0
1625129018481,0,0,0,0,0,0,0
1625129018492,0,0,0,0,0,0,0
1625129018503,0,0,0,0,0,0,0
1625129018514,0,0,0,0,0,0,0
1625129018525,0,0,0,0,0,0,0
1625129018536,0,0,0,0,0,0,0
1625129018547,0,0,0,0,0,0,0
1625129018558,0,0,0,0,0,0,0
1625129018569,0,0,0,0,0,0,0
1625129018580,0,0,0,0,0,0,0
1625129018592,0,0,0,0,0,0,0
1625129018603,0,0,0,0,0,0,0
1625129018614,0,0,0,0,0,0,0
1625129018625,0,0,0,0,0,0,0
1625129018636,0,0,0,0,0,0,0
1625129018647,0,0,0,0,0,0,0
1625129018658,0,0,0,0,0,0,0
1625129018669,0,0,0,0,0,0,0
1625129018680,0,0,0,0,0,0,0
1625129018691,0,0,0,0,0,0,0
1625129018702,0,0,0,0,0,0,0
1625129018713,0,0,0,0,0,0,0
1625129018725,0,0,0,0,0,0,0
1625129018736,0,0,0,0,0,0,0
1625129018747,0,0,0,0,0,0,0
